chrom1,start1,end1,chrom2,start2,end2,pet_count,label
6,152143442,152145072,6,109511656,109513156,0,0
5,169290834,169292334,5,33727866,33732423,0,0
17,67258194,67259694,17,7073540,7076126,0,0
7,136684941,136690764,7,136712957,136716263,5,1
14,65162479,65163979,14,65165576,65169000,3,1
13,39553935,39560134,13,39565820,39569613,5,1
19,33703539,33705829,19,11942046,11945314,0,0
7,21583769,21587588,7,21589445,21595280,6,1
19,39905807,39911758,19,39912741,39917399,9,1
12,89008758,89012529,12,89016512,89018592,9,1
9,4381931,4385833,9,4413921,4417065,3,1
11,26469520,26473146,11,15929505,15931517,0,0
22,18151944,18155871,22,23909052,23912262,0,0
18,62104046,62105546,18,45458306,45460453,0,0
2,119310268,119314194,2,119316934,119319249,3,1
16,23518604,23520630,16,57260945,57269575,0,0
20,2204055,2205555,20,2223158,2228042,4,1
14,101330866,101333684,14,101333970,101336642,4,1
20,1694546,1699637,20,1700382,1701882,3,1
14,33931601,33936378,14,70117047,70120287,0,0
22,35559514,35561014,22,24849087,24851337,0,0
9,77824259,77827389,9,36612200,36613700,0,0
2,43430570,43433655,2,237282379,237283879,0,0
11,111334583,111336375,11,49026252,49027752,0,0
3,173512200,173520120,3,173561978,173565211,3,1
5,95039011,95040511,5,6901519,6905108,0,0
18,55234202,55237646,18,55253861,55258098,3,1
21,41073931,41075792,21,32927847,32929347,0,0
5,15858407,15860391,5,15877200,15880401,7,1
19,40424341,40427205,19,40440856,40443356,3,1
20,44955622,44958129,20,44985781,44988285,3,1
7,70878032,70882763,7,81240838,81242338,0,0
19,27797107,27798607,19,28458100,28459993,0,0
2,111653671,111655995,2,239858792,239860292,0,0
11,83900750,83905997,11,83934084,83937640,3,1
2,46631397,46634184,2,46648518,46654365,7,1
19,30685331,30687587,19,4240357,4242699,0,0
4,154584863,154587842,4,154615836,154621178,3,1
11,27738087,27744655,11,27801284,27812890,10,1
20,38103981,38106997,20,38124108,38127083,3,1
22,30251042,30255282,22,30261258,30263956,3,1
17,49788843,49790603,17,53561090,53562590,0,0
11,111486863,111489217,11,50067292,50070777,0,0
9,101284235,101288915,9,101297484,101301207,3,1
20,2156183,2157683,20,17703695,17706119,0,0
4,4234025,4235525,4,179223770,179226515,0,0
4,6998423,7005148,4,7059196,7062632,3,1
6,158704934,158712966,6,159040570,159043719,4,1
20,59155398,59156898,20,33709830,33712148,0,0
22,37598512,37600012,22,23118646,23120146,0,0
20,22834809,22839353,20,62009744,62015312,0,0
4,26324508,26326553,4,26386236,26393113,3,1
6,85797782,85799282,6,130364285,130366661,0,0
19,32090961,32092461,19,23788234,23789734,0,0
17,14478493,14479993,17,66843305,66846470,0,0
9,27728160,27729660,9,789642,791142,0,0
6,63968939,63970439,6,68589681,68591181,0,0
7,86868187,86877742,7,118136618,118138544,0,0
9,127715834,127718248,9,7639875,7644939,0,0
5,122904567,122906067,5,11641483,11645748,0,0
22,48928999,48932983,22,27449641,27451141,0,0
11,60312677,60317587,11,60318948,60323723,5,1
14,50953901,50956553,14,51194503,51197164,3,1
17,61450524,61453896,17,61458969,61462387,5,1
12,55609619,55613024,12,55635001,55638270,4,1
5,53403546,53405046,5,133212690,133215762,0,0
2,65356801,65359119,2,65371950,65376216,3,1
18,45690559,45694084,18,45819171,45825015,3,1
19,49703913,49707980,19,49832709,49843202,4,1
17,52917676,52919508,17,52932334,52934035,3,1
X,70876095,70878740,X,127504174,127508213,0,0
22,46617148,46621528,22,32910353,32911853,0,0
8,14770397,14771897,8,139687871,139692266,0,0
12,47343542,47347663,12,47350139,47354474,5,1
22,22224706,22226371,22,22229414,22230914,3,1
18,5183499,5185793,18,69493936,69498686,0,0
17,55376551,55379570,17,55380778,55383765,6,1
8,140111925,140117693,8,140357972,140360835,3,1
14,103909391,103912538,14,104012812,104020697,3,1
7,48209386,48210886,7,48218814,48222332,4,1
6,108726210,108727710,6,111144640,111146140,0,0
8,141753132,141758139,8,141813199,141821346,3,1
8,124018326,124022127,8,18525074,18529870,0,0
14,56498540,56500040,14,56501382,56508099,5,1
11,63201541,63205217,11,63206173,63214536,3,1
2,46422050,46426541,2,46428637,46430137,3,1
X,105247814,105255121,X,105276475,105279273,3,1
8,47472798,47474298,8,59051146,59052646,0,0
20,31770595,31772095,20,25586629,25590570,0,0
21,18936887,18938387,21,18940254,18945102,3,1
19,17531705,17534590,19,55352311,55354453,0,0
14,89172970,89176582,14,89288277,89289777,3,1
4,155681213,155682713,4,155691408,155697569,3,1
20,41410149,41415511,20,41415920,41418543,5,1
2,108298730,108301829,2,108329624,108332607,3,1
5,151437969,151441442,5,151518827,151532525,4,1
19,16778020,16782302,19,16982295,16984456,3,1
22,29745962,29747462,22,29749811,29752509,3,1
16,84922726,84926960,16,85096173,85110289,3,1
14,74358899,74366938,14,74480358,74483554,4,1
7,71709750,71711250,7,33784176,33787267,0,0
17,80057438,80059409,17,1933817,1937557,0,0
22,42882077,42886087,22,19787310,19792401,0,0
19,6826242,6827742,19,8085081,8087623,0,0
22,50522864,50527169,22,43668254,43671295,0,0
5,69131643,69133143,5,68207412,68213016,0,0
5,144853126,144856481,5,144873290,144875777,3,1
7,98971325,98976776,7,157433732,157438553,0,0
22,49766679,49769207,22,39077560,39079060,0,0
14,21699638,21701138,14,64124678,64129647,0,0
19,39990349,39995421,19,6189759,6194737,0,0
3,184617275,184619560,3,184621378,184625486,3,1
21,33450907,33453348,21,24364344,24365844,0,0
5,136277117,136282074,5,148727531,148731981,0,0
21,23013600,23015100,21,23016200,23019823,4,1
2,200840641,200842141,2,200843536,200846618,3,1
21,33102862,33107521,21,33138296,33143365,3,1
20,31811332,31813249,20,13197872,13199372,0,0
8,38494472,38499286,8,38522616,38528452,4,1
3,29978085,29982463,3,30147330,30153627,3,1
5,41378216,41382733,5,41405929,41410130,3,1
6,29905788,29910111,6,143340569,143342069,0,0
13,95497514,95500423,13,76452450,76453950,0,0
18,77037371,77040608,18,77042271,77047584,5,1
12,125761461,125762961,12,126236797,126239804,0,0
9,135527793,135533938,9,135544276,135546203,4,1
14,23496874,23498374,14,95372115,95373615,0,0
14,55785799,55787971,14,57066241,57067793,0,0
2,198419471,198422552,2,198466707,198471688,3,1
11,14305157,14307677,11,21956064,21958092,0,0
5,110876589,110878089,5,110878985,110883540,3,1
5,157742579,157746599,5,157748229,157749729,5,1
5,36693005,36698068,5,36700308,36703446,7,1
21,32360507,32366081,21,14115564,14117064,0,0
5,133360664,133369581,5,125024042,125026054,0,0
7,42316049,42319654,7,42333034,42334807,3,1
16,76070242,76073099,16,3783569,3785069,0,0
2,163746216,163750927,2,163760396,163762928,3,1
22,30703151,30707707,22,30720821,30722321,3,1
5,96797164,96800712,5,6525325,6527579,0,0
2,16135957,16143373,2,16148902,16153565,8,1
4,135661861,135666696,4,189433114,189434614,0,0
1,24605789,24607289,1,109855201,109856701,0,0
17,6354615,6356115,17,13314323,13315823,0,0
X,95698445,95699945,X,95710906,95716138,3,1
1,179149524,179151024,1,106985654,106987761,0,0
3,90163321,90166762,3,132002270,132007844,0,0
22,40449190,40450690,22,17296825,17298325,0,0
17,73795168,73800823,17,73841421,73846766,6,1
16,10736399,10738616,16,10739652,10741152,7,1
4,12471005,12472505,4,84348838,84352599,0,0
17,12663913,12665413,17,78120774,78122274,0,0
11,61439312,61441814,11,61484939,61494196,6,1
X,83568613,83571521,X,83582293,83584292,3,1
2,31682733,31684427,2,31706054,31708836,5,1
5,150167458,150169026,5,101201156,101203182,0,0
20,40972954,40977740,20,41101441,41105312,7,1
2,94969065,94970574,2,186331917,186334952,0,0
20,59776658,59781215,20,59846726,59852741,5,1
9,36431619,36433876,9,34905054,34913274,0,0
5,74254069,74256663,5,115848222,115850252,0,0
22,25963878,25967261,22,26034771,26039227,3,1
16,10978646,10980146,16,3100089,3103932,0,0
1,39136721,39141266,1,54712930,54715640,0,0
4,108644654,108647222,4,108657577,108659594,3,1
22,20570756,20572428,22,20597992,20602485,6,1
1,72175879,72177678,1,166132342,166134029,0,0
7,111760178,111764821,7,111957385,111961973,3,1
21,31635283,31640648,21,31642572,31646656,6,1
14,95277788,95279288,14,29111049,29112549,0,0
21,36503470,36506513,21,36528665,36530165,3,1
3,124087630,124092188,3,124167211,124171149,3,1
7,5353817,5360481,7,5512185,5519689,4,1
X,8925747,8928909,X,152362598,152364098,0,0
12,63067402,63070198,12,3652992,3654492,0,0
21,35867861,35872382,21,35903410,35910154,4,1
X,20502189,20505262,X,81311885,81313385,0,0
18,48724032,48731827,18,48824947,48826447,3,1
1,88715207,88716707,1,226291884,226296357,0,0
9,35664357,35665857,9,35668655,35674783,7,1
6,77461800,77466869,6,77498939,77502108,4,1
5,115741143,115742643,5,118575884,118577384,0,0
22,39301078,39302578,22,39305962,39307514,3,1
20,43229653,43232613,20,43232978,43239247,5,1
16,66603070,66606353,16,61587657,61589157,0,0
12,73461402,73462902,12,88467418,88468918,0,0
1,34656762,34663984,1,34694364,34701196,3,1
6,113894083,113895583,6,127404734,127407044,0,0
13,24201044,24202544,13,36036520,36039223,0,0
X,103715622,103719507,X,103721450,103724327,6,1
3,79139449,79142390,3,12175256,12178842,0,0
1,50260718,50265922,1,50368016,50370817,3,1
7,29570575,29576335,7,29585441,29590375,5,1
1,21151308,21153509,1,219799748,219801640,0,0
5,4652505,4654604,5,7242858,7247280,0,0
4,2744056,2745556,4,177129564,177131064,0,0
X,119721299,119724618,X,119743279,119748340,3,1
9,129938212,129946486,9,2719306,2721961,0,0
6,52573473,52581311,6,52615190,52617643,5,1
7,143510199,143514506,7,143734052,143738040,4,1
11,9714443,9715943,11,84695098,84697181,0,0
19,54257353,54260279,19,21198189,21201828,0,0
14,23527391,23531906,14,23537303,23543275,5,1
2,38423283,38426043,2,38457055,38461736,3,1
1,31828514,31831604,1,31833928,31836007,6,1
16,11870656,11872755,16,69259589,69261611,0,0
22,35620467,35626193,22,25935460,25937594,0,0
20,61733016,61739758,20,61740096,61742855,5,1
20,49964692,49968111,20,50002690,50005500,3,1
20,41744654,41749403,20,41760311,41763346,3,1
19,30466763,30468263,19,45121197,45129766,0,0
22,37189182,37191772,22,17511199,17514105,0,0
X,147196170,147197670,X,82324559,82327122,0,0
2,241891320,241894848,2,242029613,242034416,3,1
20,5361185,5366101,20,3256483,3257983,0,0
4,151313784,151317946,4,151330587,151332908,3,1
9,112184247,112187557,9,112188547,112190047,3,1
4,6277959,6287582,4,6291357,6295254,10,1
8,142295912,142301410,8,142338403,142343255,3,1
16,69095346,69097862,16,7375231,7378856,0,0
19,50949157,50950657,19,7010750,7013813,0,0
13,42968292,42971754,13,42983083,42986266,3,1
21,41128298,41139390,21,41233329,41236974,3,1
17,1220704,1222204,17,57941374,57947311,0,0
20,9405133,9413041,20,9605383,9611305,9,1
20,4625131,4630661,20,4668939,4671308,4,1
5,1781295,1783618,5,12778825,12780638,0,0
2,27451749,27455037,2,27766776,27769565,3,1
22,22369388,22375342,22,22659295,22664668,3,1
3,40579856,40581470,3,40581843,40585008,7,1
6,2262087,2266018,6,2341453,2345955,3,1
14,67102520,67104846,14,67106167,67109251,4,1
X,103541786,103543286,X,12338710,12340210,0,0
3,182006417,182009280,3,182011869,182014571,3,1
X,71549832,71557061,X,71588180,71591608,4,1
13,113528246,113529746,13,113530779,113534064,5,1
8,61909086,61910586,8,22066894,22069553,0,0
17,44207666,44212755,17,44291580,44296802,6,1
5,143878487,143881928,5,143884832,143887601,4,1
4,170742129,170746138,4,170752123,170754034,4,1
19,49779068,49781681,19,49805370,49810749,3,1
2,213584380,213585880,2,86681633,86683133,0,0
21,40127119,40130774,21,40155911,40160559,3,1
2,157796473,157798728,2,180475980,180477480,0,0
1,228468542,228472835,1,213709347,213710847,0,0
12,30616300,30620116,12,89969401,89972448,0,0
3,46629169,46630988,3,46637024,46638852,5,1
21,36005568,36007875,21,37200235,37201735,0,0
14,88028356,88029856,14,60161477,60162977,0,0
21,15121062,15122562,21,25835558,25837058,0,0
12,69052171,69056815,12,54748249,54750131,0,0
6,159157053,159158654,6,159158931,159165808,6,1
6,85347972,85349472,6,113933600,113939927,0,0
X,151660932,151665762,X,117846591,117853895,0,0
20,4649321,4650821,20,50915729,50926061,0,0
18,70624987,70627589,18,70660496,70665849,3,1
4,19599998,19601498,4,158177283,158181356,0,0
6,89207696,89209820,6,52539237,52541119,0,0
2,216399871,216401371,2,95279735,95281235,0,0
5,59778757,59780490,5,10491791,10494209,0,0
11,116058947,116068022,11,37414173,37417986,0,0
21,34625645,34627145,21,34628683,34631901,4,1
9,30313093,30315502,9,30316169,30322850,6,1
8,36425573,36427073,8,24329967,24331467,0,0
12,19238453,19241073,12,121131715,121133215,0,0
2,81499084,81505075,2,23806317,23808121,0,0
9,2181299,2182799,9,2233325,2242468,3,1
21,36496883,36499408,21,36927059,36929840,3,1
11,110781685,110783185,11,81317194,81320026,0,0
4,152958634,152960761,4,153017222,153020977,3,1
6,107381829,107383329,6,91975205,91979071,0,0
22,27242552,27244052,22,24232479,24235697,0,0
13,91059710,91062611,13,91086806,91089749,3,1
21,31879739,31881441,21,36122245,36123745,0,0
5,14489654,14493386,5,61705956,61709550,0,0
9,96426147,96430972,9,96444793,96450430,3,1
18,53445792,53449471,18,53453691,53458326,3,1
2,109361314,109366188,2,109373060,109374560,3,1
11,126017735,126020739,11,93792957,93795518,0,0
1,90539048,90543251,1,26609623,26614105,0,0
6,141988694,141990752,6,142104303,142105803,3,1
19,37356399,37357899,19,4149095,4153776,0,0
6,38893202,38894702,6,38900591,38905965,3,1
16,53947290,53948790,16,23463041,23464541,0,0
18,4594358,4600962,18,4700145,4705240,3,1
19,35844963,35846463,19,35858316,35860541,4,1
20,44214211,44219156,20,44339885,44347454,5,1
21,41003337,41006236,21,41016451,41019580,3,1
2,197039094,197040594,2,168291957,168302398,0,0
22,30936300,30940411,22,30943466,30946126,5,1
20,17592746,17594711,20,7867736,7872050,0,0
20,33147700,33151607,20,33155280,33156852,4,1
19,17638860,17642047,19,17747882,17752740,3,1
6,112050695,112057231,6,112058872,112069864,14,1
18,31758136,31759636,18,31787647,31792231,3,1
21,37138343,37141491,21,37157090,37162386,3,1
21,45933047,45941809,21,45952879,45954379,3,1
21,43985706,43987206,21,32263908,32265408,0,0
5,138052212,138055110,5,138098982,138104558,4,1
2,219241013,219247902,2,219366745,219369493,3,1
20,21924495,21928043,20,36358681,36366458,0,0
22,44170015,44172683,22,40489072,40490572,0,0
2,13538692,13540466,2,118226907,118228407,0,0
17,17940178,17944512,17,17950202,17954788,8,1
21,31410351,31414435,21,29930746,29932246,0,0
5,59683926,59687524,5,43007274,43008774,0,0
X,143383387,143384970,X,80171419,80174742,0,0
3,194102622,194106712,3,194152709,194155433,3,1
2,18449948,18453983,2,18463844,18466931,3,1
18,57982772,57986210,18,58600202,58601702,3,1
X,116355743,116357680,X,85352045,85354836,0,0
21,27068002,27069502,21,20260609,20262109,0,0
16,87549562,87551070,16,87562375,87563875,3,1
6,137521665,137528205,6,137536893,137541465,3,1
2,29534831,29537850,2,29542485,29549586,8,1
19,50274244,50277919,19,37027856,37029356,0,0
19,55208687,55213484,19,55300931,55303156,4,1
12,6984014,6988607,12,7010364,7015052,6,1
4,186777859,186779860,4,119770420,119772753,0,0
5,149783659,149794419,5,149831864,149833364,3,1
11,105076155,105080868,11,62035864,62038175,0,0
6,1317527,1319027,6,1337579,1342174,5,1
3,135113283,135114790,3,179743431,179745874,0,0
7,11788562,11790062,7,11797397,11801651,4,1
18,64487273,64491397,18,68676177,68679574,0,0
22,30430271,30434244,22,40134506,40138496,0,0
2,139591413,139596216,2,139600553,139603836,3,1
4,172032830,172035087,4,172049803,172052318,3,1
8,24434901,24440221,8,24494312,24498231,4,1
12,58232004,58236919,12,70954691,70959066,0,0
20,51255087,51260668,20,51436187,51440815,3,1
1,41590614,41595229,1,118024012,118025920,0,0
9,108760889,108763081,9,69735017,69736923,0,0
22,18028874,18031316,22,38069944,38080516,0,0
X,117856140,117860393,X,117862237,117863737,3,1
13,44961736,44965828,13,44985349,44990926,5,1
18,4969724,4972664,18,28194063,28199401,0,0
19,12983098,12987894,19,39060635,39062135,0,0
19,44935288,44937829,19,44940490,44944253,3,1
14,25811184,25814019,14,25821676,25825152,6,1
11,39125217,39127835,11,8962276,8963776,0,0
5,100806179,100807679,5,41275509,41277009,0,0
X,152079731,152085946,X,152097717,152100419,3,1
5,78549574,78554925,5,78556713,78559198,3,1
12,60294667,60296422,12,33841452,33845913,0,0
9,7530340,7531840,9,101124076,101125576,0,0
14,38357467,38361217,14,38470981,38475871,3,1
14,22548465,22552613,14,29576825,29579031,0,0
14,74297088,74300145,14,74301819,74304264,3,1
22,22126340,22129440,22,22177674,22187138,3,1
7,5552141,5554767,7,5606362,5611077,4,1
X,6588503,6590370,X,142740058,142741598,0,0
9,997421,1000934,9,1029189,1034409,8,1
9,103506262,103508338,9,122355599,122362499,0,0
12,70811146,70814605,12,70819060,70824088,9,1
4,133873749,133875249,4,77309580,77311080,0,0
5,14333644,14335412,5,35628177,35631743,0,0
4,163505345,163509224,4,173162222,173164021,0,0
5,64319141,64320885,5,64331332,64333583,3,1
12,4735374,4736874,12,56325454,56329726,0,0
12,82806057,82807557,12,33409818,33412543,0,0
2,74411811,74416535,2,224055897,224061803,0,0
X,123592510,123594010,X,54472273,54474408,0,0
11,21015897,21020104,11,21033481,21039484,4,1
2,57627162,57628662,2,168620503,168622364,0,0
1,27424153,27428495,1,27458528,27462619,4,1
17,9271456,9272956,17,32656017,32657517,0,0
X,149441338,149446317,X,149457368,149461516,3,1
22,37394806,37397481,22,18003991,18008293,0,0
3,88281119,88282619,3,174584829,174586329,0,0
14,39113199,39115257,14,39117221,39121796,4,1
7,45347592,45350072,7,26454872,26456751,0,0
9,127731896,127736978,9,127746535,127755421,17,1
12,26822405,26823905,12,63886943,63889652,0,0
5,51967826,51974420,5,23661842,23664405,0,0
4,105625216,105630527,4,105651055,105654325,5,1
21,36321853,36323353,21,36356821,36361448,4,1
21,40425478,40428777,21,38878304,38880160,0,0
2,12107309,12108809,2,69701916,69703416,0,0
9,28867661,28869161,9,103086221,103087721,0,0
14,31902425,31904359,14,62462927,62464427,0,0
5,169979451,169981642,5,146076168,146077984,0,0
20,60275575,60277522,20,60297092,60300596,3,1
2,163717317,163719352,2,112518368,112519868,0,0
2,128816547,128822957,2,106354652,106356152,0,0
9,128915165,128916744,9,128939522,128942561,4,1
7,101534993,101537091,7,101547191,101550823,3,1
1,170537242,170539853,1,208015562,208024729,0,0
19,14570407,14575845,19,14605603,14607103,5,1
7,84448673,84450173,7,22050506,22055069,0,0
19,4987317,4988817,19,55339929,55343637,0,0
2,64043615,64045115,2,159295706,159297206,0,0
5,140080003,140083336,5,140162437,140167264,4,1
1,110849536,110855210,1,110869980,110874049,4,1
5,54531046,54534425,5,33384020,33386308,0,0
16,83246317,83250442,16,83252898,83257138,6,1
8,18982426,18985684,8,31044506,31048295,0,0
4,128043339,128044839,4,146187600,146189130,0,0
4,158805162,158806662,4,158807081,158808581,3,1
3,120552374,120555169,3,120567105,120570184,3,1
1,218268809,218273464,1,218279491,218285496,5,1
19,14404799,14407208,19,14478843,14481220,3,1
17,74689306,74695868,17,74722374,74726239,4,1
5,113091091,113094131,5,113120752,113124527,4,1
21,32849538,32853132,21,33196261,33198608,4,1
14,32574396,32576611,14,74443996,74445621,0,0
18,75265489,75267562,18,39346333,39351596,0,0
4,100253984,100260027,4,83623191,83624691,0,0
6,82856321,82858055,6,82883626,82895100,3,1
3,172706698,172712598,3,51933302,51934802,0,0
1,169754818,169756720,1,55244639,55246139,0,0
2,166152980,166156387,2,166635198,166640739,3,1
22,23044246,23048882,22,23087548,23093290,3,1
22,50146197,50150460,22,50256356,50264606,3,1
12,78394310,78397464,12,51102393,51103893,0,0
5,96891448,96895270,5,170863094,170864594,0,0
19,651525,655821,19,19061586,19063086,0,0
12,118852852,118855521,12,81652762,81654282,0,0
2,85208141,85215982,2,85235755,85238247,3,1
22,28408290,28409790,22,42525431,42527842,0,0
1,217307373,217308873,1,217310039,217314943,3,1
22,24431831,24433331,22,46652306,46654520,0,0
5,153964509,153966009,5,153977472,153983080,4,1
3,9217216,9218716,3,9277421,9286895,3,1
9,87116473,87118515,9,69026116,69028636,0,0
1,186041110,186042610,1,18166452,18170845,0,0
17,10278273,10285156,17,10288337,10290579,3,1
9,137820000,137822503,9,72113523,72116514,0,0
13,99206456,99210131,13,99258049,99262528,3,1
21,41841564,41844551,21,42566774,42571261,0,0
4,2862284,2864799,4,178284622,178286122,0,0
14,74242826,74244888,14,69144096,69146858,0,0
3,190691557,190699409,3,190709944,190711444,3,1
7,1006890,1009237,7,1014157,1021918,3,1
14,95682979,95686616,14,83476036,83477536,0,0
X,129143355,129152308,X,20655604,20658745,0,0
13,45787648,45789148,13,112668554,112671737,0,0
5,120109196,120110917,5,18915751,18917251,0,0
1,222178815,222180315,1,68808411,68812909,0,0
17,74921916,74926220,17,74967087,74968587,3,1
3,176556206,176557860,3,121580665,121584810,0,0
7,99791548,99795438,7,99803207,99809861,7,1
11,35840795,35845118,11,36262499,36272812,4,1
13,42220251,42226758,13,42231504,42233004,5,1
19,50454425,50458294,19,50460464,50466832,12,1
3,672670,677521,3,708835,715640,4,1
7,143031809,143034075,7,143057506,143063232,3,1
2,178474087,178477033,2,178481753,178485291,3,1
17,28413477,28417894,17,28428727,28430354,3,1
3,36972561,36974141,3,45881246,45882746,0,0
8,11464953,11469862,8,11470912,11476078,9,1
X,54604267,54608595,X,120407142,120408642,0,0
19,30542251,30543751,19,58048037,58050334,0,0
22,49044320,49047828,22,49052245,49053745,4,1
Y,11308346,11314446,Y,11322735,11326635,115,1
12,54592498,54593998,12,76626064,76633448,0,0
7,70191405,70195975,7,70219212,70224875,5,1
7,106085993,106087493,7,106098911,106100411,3,1
5,112155833,112157333,5,177235849,177237349,0,0
7,42756517,42760827,7,42822997,42827181,3,1
11,10776755,10785452,11,7419456,7423237,0,0
13,112929045,112932415,13,113390562,113395171,3,1
X,15812597,15817340,X,15835288,15837775,3,1
12,6909530,6914756,12,6963845,6968151,5,1
X,73959619,73967456,X,73982771,73985744,3,1
16,51605039,51607096,16,77599225,77600725,0,0
12,53030521,53032954,12,110746855,110749270,0,0
14,100238703,100242358,14,100259383,100262289,3,1
1,169814728,169816913,1,169828796,169835396,3,1
11,88534592,88538270,11,98359762,98361262,0,0
13,48731220,48737139,13,48739957,48746608,9,1
17,4508060,4513052,17,4517330,4521824,6,1
3,78911973,78913473,3,156029109,156030609,0,0
20,10813056,10815795,20,57818742,57821081,0,0
22,21952534,21955098,22,21979351,21983570,3,1
9,81515508,81518200,9,119265846,119271061,0,0
8,109133470,109134970,8,140611609,140613109,0,0
14,78104262,78107438,14,78218817,78224607,3,1
20,54506975,54511456,20,4232074,4240231,0,0
8,9332188,9334532,8,9353034,9355631,3,1
2,63259299,63261696,2,63273816,63276964,3,1
9,4244435,4247090,9,20562326,20563826,0,0
1,48186587,48188087,1,30693511,30699030,0,0
8,72027539,72032168,8,72044423,72048446,5,1
3,172966974,172971016,3,194028407,194031117,0,0
12,98525764,98530540,12,120281562,120285461,0,0
19,35796074,35800703,19,35929525,35933257,5,1
22,17442680,17446700,22,26649857,26655148,0,0
12,2358505,2367718,12,2410307,2413427,4,1
20,14417723,14419223,20,46066628,46068128,0,0
22,42310744,42314643,22,42326489,42332104,3,1
8,57441581,57443081,8,101456399,101457899,0,0
1,117045584,117050903,1,182337267,182339017,0,0
11,116582860,116589582,11,45199144,45207365,0,0
20,31537731,31541152,20,31543666,31545166,3,1
11,114880928,114882428,11,114883005,114887025,3,1
14,104359438,104362078,14,96144423,96145923,0,0
8,122025517,122027017,8,21809213,21814316,0,0
7,127804489,127807466,7,127840040,127845059,3,1
17,74898838,74902496,17,74908866,74913954,5,1
17,79745096,79749485,17,79838980,79841867,3,1
19,2703459,2705312,19,20526103,20529233,0,0
22,38971254,38975180,22,49946590,49948090,0,0
11,121779841,121781341,11,131740142,131742587,0,0
5,160507210,160509517,5,179573748,179575248,0,0
1,24777571,24783569,1,24846649,24848887,4,1
7,67570017,67571517,7,15431177,15434040,0,0
9,121056045,121059093,9,79364502,79366002,0,0
5,159313405,159318007,5,159345054,159348897,4,1
11,113109370,113115047,11,113121191,113123837,5,1
20,53323230,53327793,20,53336848,53341790,3,1
17,7341745,7346849,17,7475951,7480972,4,1
21,35972128,35975736,21,30999344,31002393,0,0
4,114643663,114650930,4,32560811,32563911,0,0
2,3391576,3393556,2,3422283,3426209,4,1
1,12637591,12640520,1,12658291,12660664,7,1
7,99011430,99015552,7,126657833,126661025,0,0
X,19525941,19529538,X,19532582,19539873,6,1
6,3813570,3817796,6,3875961,3884827,5,1
2,54667188,54668688,2,239342040,239343540,0,0
22,29260527,29263392,22,17074476,17077200,0,0
16,56622614,56625927,16,56630708,56635268,5,1
4,28361726,28364814,4,25262164,25263930,0,0
16,1625119,1630759,16,63457169,63459773,0,0
12,40622048,40624814,12,39497320,39498820,0,0
18,5048932,5051865,18,37868170,37871596,0,0
4,84383691,84385191,4,84387788,84390302,3,1
13,68324609,68326177,13,71870896,71872396,0,0
21,25397893,25399393,21,14558812,14560976,0,0
21,15869595,15872086,21,37220534,37222034,0,0
7,74165331,74166831,7,133058329,133064168,0,0
2,138864250,138865750,2,6012217,6015144,0,0
21,46073034,46075789,21,46098299,46105781,4,1
4,8385050,8389008,4,8419535,8424466,3,1
18,53305169,53307426,18,32681012,32687859,0,0
9,94858593,94860523,9,1828777,1833152,0,0
18,24768551,24771828,18,24774720,24777121,5,1
20,15342770,15344270,20,8105330,8106830,0,0
18,50262682,50265723,18,50278470,50287704,3,1
19,46642658,46646478,19,46652001,46656150,6,1
3,126678526,126680093,3,126717477,126723281,4,1
8,133415254,133417143,8,133451205,133456613,3,1
8,125172833,125179777,8,4259380,4260880,0,0
20,17033552,17035052,20,59081634,59084042,0,0
9,12989156,12996822,9,13046104,13048220,3,1
17,65866653,65869097,17,43895011,43896511,0,0
14,46531149,46532649,14,94439629,94442617,0,0
21,35291988,35297406,21,46523567,46526218,0,0
20,14713725,14720546,20,14745807,14752407,6,1
2,159653575,159655075,2,115639895,115641395,0,0
1,198299399,198301322,1,50495076,50496576,0,0
18,47624276,47635691,18,47734897,47738249,3,1
14,20613377,20614877,14,23426978,23428967,0,0
5,62645887,62647822,5,144331984,144333484,0,0
4,24978740,24981197,4,24994758,24998636,3,1
19,36830838,36832338,19,56956550,56960855,0,0
X,152967772,152970389,X,153058996,153065842,3,1
6,41961971,41967051,6,125332280,125334146,0,0
11,132558182,132563965,11,132564930,132569672,11,1
18,45081918,45084680,18,13741388,13742888,0,0
8,33349766,33352148,8,33352589,33354099,4,1
14,95724230,95726192,14,92321208,92323302,0,0
5,141609974,141618448,5,139112740,139116924,0,0
22,24826864,24833360,22,24936463,24940384,3,1
11,35580236,35595097,11,36491118,36494965,3,1
8,144375650,144380433,8,144502437,144509313,3,1
5,83632680,83634180,5,74240056,74244271,0,0
8,6607152,6608652,8,13752432,13755382,0,0
22,49322474,49324457,22,49341334,49344493,3,1
11,28744235,28750307,11,28775716,28778427,3,1
16,85419698,85422972,16,85677059,85685025,3,1
7,21772926,21777797,7,21968117,21972419,4,1
X,136882540,136885927,X,136923890,136926323,4,1
4,189272124,189273624,4,104851293,104854202,0,0
18,43961994,43966278,18,72762683,72764326,0,0
9,120015220,120016720,9,586215,587815,0,0
13,39513257,39514757,13,95701859,95703359,0,0
7,7245827,7247329,7,37846209,37847709,0,0
7,138189917,138193974,7,138214152,138217853,3,1
17,70769969,70771469,17,78764438,78766605,0,0
4,11481367,11485827,4,11518069,11523390,3,1
6,114332049,114333899,6,142665186,142666686,0,0
